trial,trial_type,intended_slider_value,n_chopping_boards,n_counters,model_agents,model_model,model_recipe,model_seed,model_settings,timesteps,agent_pauses,agent_collisions,was_successful
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,1,agents=2-model=bd_bd-recipe=Salad,23,12,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,2,agents=2-model=bd_bd-recipe=Salad,21,8,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,3,agents=2-model=bd_bd-recipe=Salad,21,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,4,agents=2-model=bd_bd-recipe=Salad,25,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,5,agents=2-model=bd_bd-recipe=Salad,22,9,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,6,agents=2-model=bd_bd-recipe=Salad,25,12,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,7,agents=2-model=bd_bd-recipe=Salad,21,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,8,agents=2-model=bd_bd-recipe=Salad,23,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,9,agents=2-model=bd_bd-recipe=Salad,25,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,10,agents=2-model=bd_bd-recipe=Salad,24,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,11,agents=2-model=bd_bd-recipe=Salad,25,12,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,12,agents=2-model=bd_bd-recipe=Salad,21,8,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,13,agents=2-model=bd_bd-recipe=Salad,22,12,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,14,agents=2-model=bd_bd-recipe=Salad,22,6,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,15,agents=2-model=bd_bd-recipe=Salad,23,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,16,agents=2-model=bd_bd-recipe=Salad,24,9,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,17,agents=2-model=bd_bd-recipe=Salad,22,9,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,18,agents=2-model=bd_bd-recipe=Salad,23,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,19,agents=2-model=bd_bd-recipe=Salad,24,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,20,agents=2-model=bd_bd-recipe=Salad,23,10,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,1,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,2,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,3,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,4,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,5,agents=1-model=greedy-recipe=Salad,28,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,6,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,7,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,8,agents=1-model=greedy-recipe=Salad,28,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,9,agents=1-model=greedy-recipe=Salad,28,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,10,agents=1-model=greedy-recipe=Salad,32,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,11,agents=1-model=greedy-recipe=Salad,32,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,12,agents=1-model=greedy-recipe=Salad,30,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,13,agents=1-model=greedy-recipe=Salad,28,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,14,agents=1-model=greedy-recipe=Salad,28,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,15,agents=1-model=greedy-recipe=Salad,30,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,16,agents=1-model=greedy-recipe=Salad,28,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,17,agents=1-model=greedy-recipe=Salad,32,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,18,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,19,agents=1-model=greedy-recipe=Salad,32,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,20,agents=1-model=greedy-recipe=Salad,26,0,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,1,agents=2-model=greedy_greedy-recipe=Salad,37,11,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,2,agents=2-model=greedy_greedy-recipe=Salad,47,12,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,3,agents=2-model=greedy_greedy-recipe=Salad,54,14,1,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,4,agents=2-model=greedy_greedy-recipe=Salad,100,39,0,False
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,5,agents=2-model=greedy_greedy-recipe=Salad,28,6,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,6,agents=2-model=greedy_greedy-recipe=Salad,41,12,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,7,agents=2-model=greedy_greedy-recipe=Salad,31,8,0,True
trial_01,cooks,0.0,1,4,2,greedy_greedy,Salad,8,agents=2-model=greedy_greedy-recipe=Salad,41,11,0,True
